name,date,id
Birendra Shah ,2007-10-04,NPL
Kenji Nagai ,2007-09-27,MMR
Muhannad Ghanem Ahmad al-Obaidi ,2007-09-20,IRQ
Amer Malallah al-Rashidi ,2007-09-03,IRQ
Abdulkadir Mahad Moallim Kaskey ,2007-08-24,SOM
Tito Alberto Palma ,2007-08-22,PRY
Mahad Ahmed Elmi ,2007-08-11,SOM
Ali Sharmarke ,2007-08-11,SOM
Chauncey Bailey ,2007-08-02,USA
Adnan al-Safi ,2007-07-27,IRQ
Majeed Mohammed ,2007-07-16,IRQ
Mustafa Gaimayani ,2007-07-16,IRQ
Khalid W. Hassan ,2007-07-13,IRQ
Namir Noor-Eldeen ,2007-07-12,IRQ
Javed Khan ,2007-07-03,PAK
Prakash Singh Thakuri ,2007-07-01,NPL
Sarmad Hamdi Shaker ,2007-06-27,IRQ
Hamid Abed Sarhan ,2007-06-26,IRQ
Filaih Wuday Mijthab ,2007-06-17,IRQ
Serge Maheshe ,2007-06-13,COD
Aref Ali Filaih ,2007-06-11,IRQ
Sahar Hussein Ali al-Haydari ,2007-06-07,IRQ
Mohammad Hilal Karji ,2007-06-06,IRQ
Zakia Zaki ,2007-06-04,AFG
Noor Hakim Khan ,2007-06-02,PAK
Paulos Kidane ,2007-06-01,ERI
Nazar Abdulwahid al-Radhi ,2007-05-30,IRQ
Saif Laith Yousuf ,2007-05-17,IRQ
Alaa Uldeen Aziz ,2007-05-17,IRQ
Ahmed Hassan Mahad ,2007-05-16,SOM
Abshir Ali Gabre ,2007-05-16,SOM
Suleiman Abdul-Rahim al-Ashi ,2007-05-13,ISR
Raad Mutashar ,2007-05-09,IRQ
Dmitry Chebotayev ,2007-05-06,IRQ
Luiz Carlos Barbon Filho ,2007-05-05,BRA
Mohammed Abdullahi Khalif ,2007-05-05,SOM
Selvarajah Rajeewarnam ,2007-04-29,LKA
Mehboob Khan ,2007-04-28,PAK
Subash Chandraboas ,2007-04-16,LKA
Khaled Fayyad Obaid al-Hamdani ,2007-04-12,IRQ
Ajmal Naqshbandi ,2007-04-08,AFG
Othman al-Mashhadani ,2007-04-06,IRQ
Amado Ramírez Dillanes ,2007-04-06,MEX
Khamail Khalaf  ,2007-04-05,IRQ
Thaer Ahmad Jaber  ,2007-04-05,IRQ
Edward Chikomba ,2007-03-31,ZWE
Miguel Pérez Julca ,2007-03-17,PER
Hamid al-Duleimi ,2007-03-17,IRQ
Yussef Sabri ,2007-03-07,IRQ
Mohan Hussein al-Dhahir ,2007-03-04,IRQ
Ivan Safronov ,2007-03-02,RUS
Jamal al-Zubaidi ,2007-02-24,IRQ
Abdulrazak Hashim Ayal al-Khakani ,2007-02-05,IRQ
Hussein al-Zubaidi ,2007-01-28,IRQ
Rodolfo Rincón Taracena ,2007-01-20,MEX
Jean-Rémy Badio ,2007-01-19,HTI
Hrant Dink ,2007-01-19,TUR
Falah Khalaf al-Diyali ,2007-01-15,IRQ
Ahmed Hadi Naji ,2007-01-05,IRQ
"Fesshaye ""Joshua"" Yohannes ",2007-01-01,ERI
Aswan Ahmed Lutfallah ,2006-12-12,IRQ
Nabil Ibrahim al-Dulaimi ,2006-12-04,IRQ
Maksim Maksimov ,2006-11-30,RUS
Roberto Marcos García ,2006-11-21,MEX
Luma al-Karkhi ,2006-11-15,IRQ
Muhammad al-Ban ,2006-11-13,IRQ
Naqshin Hamma Rashid ,2006-10-29,IRQ
Bradley Will ,2006-10-27,MEX
Saed Mahdi Shlash ,2006-10-26,IRQ
Hussein Ali ,2006-10-12,IRQ
Ahmad Sha'ban ,2006-10-12,IRQ
Thaker al-Shouwili ,2006-10-12,IRQ
Noufel al-Shimari ,2006-10-12,IRQ
Abdul-Rahim Nasrallah al-Shimari ,2006-10-12,IRQ
Anna Politkovskaya ,2006-10-07,RUS
Christian Struwe ,2006-10-07,AFG
Karen Fischer ,2006-10-07,AFG
Ahmed Riyadh al-Karbouli ,2006-09-18,IRQ
Safa Isma'il Enad ,2006-09-13,IRQ
Abdel Karim al-Rubai ,2006-09-09,IRQ
Mohammed Taha Mohammed Ahmed ,2006-09-06,SDN
Ogulsapar Muradova ,2006-09-01,TKM
Atilano Segundo Pérez Barrios ,2006-08-22,COL
Mohammad Abbas Mohammad ,2006-08-07,IRQ
Ismail Amin Ali ,2006-08-07,IRQ
Riyad Muhammad Ali ,2006-07-30,IRQ
Adel Naji al-Mansouri  ,2006-07-29,IRQ
Layal Najib ,2006-07-23,LBN
Abdul Qodus ,2006-07-22,AFG
Armando Pace ,2006-07-18,PHL
Martin Adler ,2006-06-23,SOM
Maricel Vigo ,2006-06-19,PHL
George Vigo ,2006-06-19,PHL
Hayatullah Khan ,2006-06-16,PAK
Ibrahim Seneid ,2006-06-13,IRQ
Ali Jaafar ,2006-05-31,IRQ
Munir Ahmed Sangi ,2006-05-29,PAK
Paul Douglas ,2006-05-29,IRQ
James Brolan ,2006-05-29,IRQ
Fernando Batul ,2006-05-22,PHL
Laith al-Dulaimi ,2006-05-08,IRQ
Herliyanto ,2006-04-29,IDN
Jorge Aguirre ,2006-04-05,VEN
So'oud Muzahim al-Shoumari ,2006-04-04,IRQ
Kamal Manahi Anbar ,2006-03-26,IRQ
Gustavo Rojas Gabalo ,2006-03-20,COL
Muhsin Khudhair ,2006-03-13,IRQ
Amjad Hameed ,2006-03-11,IRQ
Munsuf Abdallah al-Khaldi ,2006-03-07,IRQ
Atwar Bahjat ,2006-02-23,IRQ
Adnan Khairallah ,2006-02-23,IRQ
Khaled Mahmoud al-Falahi ,2006-02-23,IRQ
Wu Xianghu ,2006-02-02,CHN
Mahmoud Za'al ,2006-01-25,IRQ
Subramaniyam Sugitharajah ,2006-01-24,LKA
Vagif Kochetkov ,2006-01-08,RUS
Prahlad Goala ,2006-01-06,IND
